Navn,Parti
Andreas Steenberg,Radikale Venstre
Inger Støjberg,Venstre
Finn Sørensen,Enhedslisten
Villy Søvndal,Socialistisk Folkeparti
Hans Christian Thoning,Venstre
Helle Thorning-Schmidt,Socialdemokratiet
Ulla Tørnæs,Venstre
Eyvind Vesselbo,Venstre
Margrethe Vestager,Radikale Venstre
Annette Vilhelmsen,Socialistisk Folkeparti
Nikolaj Barslund Villumsen,Enhedslisten
Nicolai Wammen,Socialdemokratiet
Fatma Øktem,Venstre
Morten Østergaard,Radikale Venstre
Frank Aaen,Enhedslisten
